     x           Q2           F2D            stat      sys
   0.1400       11.370        0.3224        0.0065     0.0046 
   0.1400       14.940        0.3269        0.0051     0.0049 
   0.1400       19.770        0.3236        0.0038     0.0050 
   0.1400       26.540        0.3247        0.0039     0.0055 
   0.1400       35.200        0.3335        0.0065     0.0068 
   0.1800        2.670        0.3313        0.0092     0.0117 
   0.1800        3.480        0.3099        0.0061     0.0079 
   0.1800        4.470        0.3143        0.0061     0.0060 
   0.1800        5.470        0.3030        0.0064     0.0047 
   0.1800        6.860        0.3057        0.0056     0.0042 
   0.1800        8.880        0.2991        0.0083     0.0040 
   0.1800       11.310        0.3016        0.0077     0.0045 
   0.1800       14.970        0.3020        0.0060     0.0045 
   0.1800       19.840        0.2933        0.0043     0.0049 
   0.1800       26.650        0.2957        0.0042     0.0056 
   0.1800       35.130        0.2950        0.0052     0.0065 
   0.1800       45.710        0.3133        0.0096     0.0079 
   0.2250        2.900        0.2961        0.0263     0.0096 
   0.2250        3.510        0.2950        0.0071     0.0075 
   0.2250        4.490        0.2824        0.0061     0.0057 
   0.2250        5.460        0.2868        0.0066     0.0048 
   0.2250        6.870        0.2807        0.0056     0.0039 
   0.2250        8.850        0.2785        0.0074     0.0035 
   0.2250       11.350        0.2837        0.0076     0.0037 
   0.2250       15.020        0.2564        0.0056     0.0032 
   0.2250       19.860        0.2641        0.0041     0.0039 
   0.2250       26.710        0.2631        0.0040     0.0047 
   0.2250       35.280        0.2547        0.0045     0.0057 
   0.2250       46.550        0.2554        0.0073     0.0069 
   0.2750        3.750        0.2679        0.0117     0.0074 
   0.2750        4.470        0.2695        0.0079     0.0058 
   0.2750        5.470        0.2602        0.0074     0.0045 
   0.2750        6.890        0.2489        0.0059     0.0034 
   0.2750        8.810        0.2470        0.0083     0.0028 
   0.2750       11.420        0.2370        0.0078     0.0028 
   0.2750       14.860        0.2400        0.0076     0.0030 
   0.2750       19.860        0.2301        0.0044     0.0027 
   0.2750       26.720        0.2239        0.0040     0.0032 
   0.2750       35.340        0.2268        0.0046     0.0044 
   0.2750       46.960        0.2299        0.0069     0.0059 
   0.2750       59.800        0.1675        0.0179     0.0056 
   0.3500        4.610        0.2127        0.0081     0.0095 
   0.3500        5.450        0.2217        0.0069     0.0076 
   0.3500        6.960        0.2160        0.0049     0.0047 
   0.3500        8.810        0.2016        0.0057     0.0028 
   0.3500       11.320        0.1831        0.0073     0.0019 
   0.3500       14.810        0.1680        0.0052     0.0021 
   0.3500       20.200        0.1782        0.0038     0.0027 
   0.3500       26.640        0.1677        0.0028     0.0028 
   0.3500       35.420        0.1698        0.0030     0.0030 
   0.3500       46.630        0.1633        0.0038     0.0031 
   0.3500       61.200        0.1556        0.0103     0.0046 
   0.5000        5.720        0.1148        0.0100     0.0117 
   0.5000        6.920        0.1263        0.0047     0.0100 
   0.5000        8.880        0.1053        0.0039     0.0060 
   0.5000       11.270        0.1027        0.0044     0.0045 
   0.5000       14.370        0.1085        0.0061     0.0036 
   0.5000       20.030        0.0876        0.0035     0.0039 
   0.5000       27.190        0.0848        0.0020     0.0026 
   0.5000       35.480        0.0823        0.0016     0.0029 
   0.5000       46.620        0.0805        0.0020     0.0030 
   0.5000       62.310        0.0723        0.0047     0.0029 
